,temp=0.01,temp=0.5,temp=1.0,temp=1.5,temp=2.0,temp=2.5,temp=3.0,temp=3.5,temp=4.0,temp=4.5,temp=5.0,temp=5.5,temp=6.0,temp=6.5,temp=7.0,temp=7.5,temp=8.0,temp=8.5,temp=9.0,temp=9.5,temp=10.0,temp=10.5,temp=11.0,temp=11.5,temp=12.0,temp=12.5,temp=13.0,temp=13.5,temp=14.0,temp=14.5,temp=15.0
17536,1.0,1.0,1.0,1.0,1.0,1.0,0.125,0.5,0.875,0.25,0.375,0.25,0.375,0.0,0.125,0.625,0.375,0.25,0.375,0.125,0.25,0.5,0.25,0.125,0.25,0.25,0.5,0.625,0.0,0.0,0.375
17537,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.375,0.875,0.25,0.25,0.375,0.5,0.0,0.0,0.625,0.5,0.25,0.25,0.0,0.125,0.5,0.125,0.0,0.125,0.125,0.375,0.625,0.125,0.125,0.375
17538,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.75,0.25,0.125,0.25,0.625,0.125,0.125,0.625,0.5,0.125,0.375,0.125,0.0,0.375,0.25,0.125,0.25,0.25,0.5,0.5,0.25,0.25,0.5
17539,1.0,1.0,1.0,1.0,1.0,1.0,0.125,0.5,0.75,0.125,0.25,0.125,0.75,0.25,0.0,0.75,0.625,0.25,0.25,0.25,0.125,0.25,0.375,0.0,0.375,0.125,0.5,0.625,0.375,0.125,0.5
17540,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.875,0.25,0.25,0.25,0.625,0.125,0.125,0.625,0.625,0.125,0.125,0.125,0.25,0.125,0.25,0.125,0.25,0.25,0.5,0.75,0.25,0.125,0.375
17541,1.0,1.0,1.0,1.0,1.0,1.0,0.125,0.375,0.75,0.25,0.375,0.25,0.625,0.0,0.125,0.5,0.625,0.0,0.25,0.25,0.125,0.25,0.125,0.125,0.125,0.375,0.375,0.75,0.375,0.25,0.375
17542,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.75,0.375,0.25,0.125,0.75,0.125,0.25,0.375,0.5,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.0,0.5,0.5,0.625,0.375,0.375,0.25
17543,1.0,1.0,1.0,1.0,1.0,1.0,0.125,0.5,0.75,0.25,0.25,0.125,0.625,0.25,0.375,0.25,0.5,0.25,0.125,0.0,0.125,0.0,0.125,0.0,0.125,0.5,0.375,0.5,0.25,0.5,0.125
17544,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.75,0.125,0.125,0.125,0.5,0.25,0.25,0.25,0.375,0.125,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.375,0.5,0.375,0.125,0.625,0.25
17545,1.0,1.0,1.0,1.0,1.0,1.0,0.125,0.375,0.75,0.0,0.0,0.25,0.5,0.125,0.25,0.25,0.25,0.25,0.0,0.0,0.125,0.0,0.125,0.0,0.125,0.5,0.5,0.25,0.25,0.5,0.125
17546,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.5,0.625,0.125,0.0,0.375,0.5,0.25,0.375,0.25,0.375,0.375,0.125,0.125,0.0,0.0,0.0,0.125,0.0,0.375,0.625,0.125,0.375,0.375,0.25
17547,1.0,1.0,1.0,1.0,1.0,1.0,0.375,0.625,0.5,0.25,0.0,0.25,0.375,0.125,0.375,0.125,0.25,0.5,0.25,0.25,0.125,0.125,0.125,0.0,0.125,0.5,0.5,0.25,0.25,0.5,0.375
17548,1.0,1.0,1.0,1.0,1.0,1.0,0.375,0.5,0.375,0.25,0.125,0.375,0.5,0.25,0.5,0.25,0.125,0.375,0.25,0.375,0.25,0.0,0.25,0.125,0.0,0.625,0.375,0.125,0.125,0.375,0.25
17549,1.0,1.0,1.0,1.0,1.0,1.0,0.375,0.5,0.25,0.125,0.25,0.375,0.375,0.125,0.5,0.125,0.25,0.5,0.375,0.375,0.125,0.125,0.125,0.0,0.125,0.75,0.5,0.0,0.25,0.5,0.375
17550,1.0,1.0,1.0,1.0,1.0,1.0,0.375,0.375,0.125,0.0,0.25,0.5,0.25,0.25,0.625,0.125,0.125,0.375,0.25,0.25,0.0,0.25,0.0,0.125,0.25,0.625,0.5,0.125,0.125,0.5,0.25
17551,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.375,0.0,0.125,0.25,0.375,0.125,0.375,0.5,0.0,0.25,0.5,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.75,0.5,0.0,0.0,0.375,0.125
17552,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,0.0,0.0,0.125,0.25,0.0,0.375,0.375,0.125,0.375,0.625,0.0,0.0,0.0,0.125,0.25,0.125,0.25,0.625,0.625,0.125,0.0,0.375,0.0
